Perk 1,Score 1,Perk 2,Score 2,Perk 3,Score 3,Perk 4,Score 4,Masterwork,Score 5,Maximum Score
Volatile Launch,0,Blinding Grenades,5,Quickdraw,0,Disruption Break,4,Stability,0,22
Confined Launch,0,Proximity Grenades,0,Surplus,0,Multikill Clip,3,Reload,2,
Countermass,0,Spike Grenades,5,Genesis,1,Unrelenting,0,Handling,2,
Hard Launch,4,High-Velocity Rounds,1,Feeding Frenzy,3,Snapshot Sights,0,blast_radius,1,
Linear Compensator,2,Implosion Rounds,0,Auto-Loading Holster,5,Danger Zone,0,projectile_speed,3,
Quick Launch,4,Concussion Grenades,1,Lead From Gold,2,Demolitionist,5,,,
Smart Drift Control,2,,,Threat Detector,0,Vorpal Weapon,5,,,
,,,,Ambitious Assassin,5,Swashbuckler,2,,,
,,,,Field Prep,0,One For All,5,,,
,,,,Underdog,0,Thresh,1,,,
